policy,task_id,split,workload,kind,actions,required_actions,success,answer,expected_answer,cost,route_latency_ms,execution_latency_ms,within_cost_budget,route_exact_match,confidence,rationale,failure_mode
full,test-data_analysis-000,test,data_analysis,direct_literal,use_tool|answer,,True,R000,R000,1.3,0.0997166,0.019275,True,False,0.5651427533341927,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-001,test,data_analysis,aggregate,execute_code|answer,execute_code,True,36,36,1.45,0.1232918,0.00165,True,True,0.7372266080698744,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-002,test,data_analysis,filtered_sum,decompose|execute_code|answer,decompose|execute_code,True,38,38,1.9,0.2649,0.0036165999999999998,True,True,0.9740769264984062,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-003,test,data_analysis,direct_literal,use_tool|answer,,True,R003,R003,1.3,0.0929334,0.00125,True,False,0.5814456154781409,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-004,test,data_analysis,aggregate,execute_code|answer,execute_code,True,38,38,1.45,0.11755,0.001125,True,True,0.740344432313894,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-005,test,data_analysis,filtered_sum,decompose|execute_code|answer,decompose|execute_code,True,26,26,1.9,0.24747499999999997,0.002175,True,True,0.945147827595004,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-006,test,data_analysis,direct_literal,use_tool|answer,,True,R006,R006,1.3,0.0937666,0.0013166,True,False,0.5848613971725652,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-007,test,data_analysis,aggregate,execute_code|answer,execute_code,True,35,35,1.45,0.1197416,0.0011582,True,True,0.7386678154306422,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-008,test,data_analysis,filtered_sum,decompose|execute_code|answer,decompose|execute_code,True,44,44,1.9,0.2584084,0.001375,True,True,0.9837532576750537,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-009,test,data_analysis,direct_literal,use_tool|answer,,True,R009,R009,1.3,0.0934416,0.0010666,True,False,0.5799969241774906,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-010,test,data_analysis,aggregate,execute_code|answer,execute_code,True,36,36,1.45,0.120125,0.0010500000000000002,True,True,0.7183924054770046,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-011,test,data_analysis,filtered_sum,decompose|execute_code|answer,decompose|execute_code,True,53,53,1.9,0.2603584,0.0016416,True,True,0.9838364861725815,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-012,test,data_analysis,direct_literal,use_tool|answer,,True,R012,R012,1.3,0.0960666,0.0010500000000000002,True,False,0.5692365213251116,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-013,test,data_analysis,aggregate,execute_code|answer,execute_code,True,35,35,1.45,0.1222,0.0010084,True,True,0.8103346585208161,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-014,test,data_analysis,filtered_sum,decompose|execute_code|answer,decompose|execute_code,True,42,42,1.9,0.2686416,0.0021666000000000003,True,True,0.9749719105833208,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-015,test,data_analysis,direct_literal,use_tool|answer,,True,R015,R015,1.3,0.0964418,0.0012916,True,False,0.5599407345124168,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-016,test,data_analysis,aggregate,execute_code|answer,execute_code,True,39,39,1.45,0.1219168,0.001175,True,True,0.6991726249151425,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-017,test,data_analysis,filtered_sum,decompose|execute_code|answer,decompose|execute_code,True,68,68,1.9,0.2572334,0.0014332,True,True,0.972015227597957,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-018,test,data_analysis,direct_literal,use_tool|answer,,True,R018,R018,1.3,0.096625,0.0010500000000000002,True,False,0.5751072392653581,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-019,test,data_analysis,aggregate,execute_code|answer,execute_code,True,36,36,1.45,0.12562500000000001,0.0010584,True,True,0.7230659288018142,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-020,test,data_analysis,filtered_sum,decompose|execute_code|answer,decompose|execute_code,True,38,38,1.9,0.2533584,0.001325,True,True,0.9631634738933741,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-021,test,data_analysis,direct_literal,use_tool|answer,,True,R021,R021,1.3,0.09853340000000001,0.0018249999999999998,True,False,0.5726874041355436,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-022,test,data_analysis,aggregate,execute_code|answer,execute_code,True,40,40,1.45,0.12890839999999998,0.0010416,True,True,0.7884062345190904,calibrated text predictions composed under action and cost budgets,
full,test-data_analysis-023,test,data_analysis,filtered_sum,decompose|execute_code|answer,decompose|execute_code,True,45,45,1.9,0.2652084,0.00135,True,True,0.9721310132279599,calibrated text predictions composed under action and cost budgets,
