policy,task_id,split,workload,kind,actions,required_actions,success,answer,expected_answer,cost,route_latency_ms,execution_latency_ms,within_cost_budget,route_exact_match,confidence,rationale,failure_mode
direct,challenge-data_analysis-000,challenge,data_analysis,direct_literal,answer,,True,R000,R000,0.3,0.0014583999999999999,0.0020334000000000003,True,True,0.5,answer directly,
direct,challenge-data_analysis-001,challenge,data_analysis,aggregate,answer,execute_code,False,,39,0.3,0.0005584,0.0005499999999999999,True,False,0.5,answer directly,no_answer
direct,challenge-data_analysis-002,challenge,data_analysis,filtered_sum,answer,decompose|execute_code,False,,82,0.3,0.0004916,0.00039160000000000003,True,False,0.5,answer directly,no_answer
direct,challenge-data_analysis-003,challenge,data_analysis,direct_literal,answer,,True,R003,R003,0.3,0.00042500000000000003,0.00095,True,True,0.5,answer directly,
direct,challenge-data_analysis-004,challenge,data_analysis,aggregate,answer,execute_code,False,,36,0.3,0.00045,0.00039160000000000003,True,False,0.5,answer directly,no_answer
direct,challenge-data_analysis-005,challenge,data_analysis,filtered_sum,answer,decompose|execute_code,False,,59,0.3,0.0004418,0.0003834,True,False,0.5,answer directly,no_answer
direct,challenge-data_analysis-006,challenge,data_analysis,direct_literal,answer,,True,R006,R006,0.3,0.00041660000000000004,0.0008750000000000001,True,True,0.5,answer directly,
direct,challenge-data_analysis-007,challenge,data_analysis,aggregate,answer,execute_code,False,,38,0.3,0.00040819999999999995,0.00035,True,False,0.5,answer directly,no_answer
direct,challenge-data_analysis-008,challenge,data_analysis,filtered_sum,answer,decompose|execute_code,False,,23,0.3,0.0004084,0.0003334,True,False,0.5,answer directly,no_answer
direct,challenge-data_analysis-009,challenge,data_analysis,direct_literal,answer,,True,R009,R009,0.3,0.0004,0.0008581999999999999,True,True,0.5,answer directly,
direct,challenge-data_analysis-010,challenge,data_analysis,aggregate,answer,execute_code,False,,35,0.3,0.0004084,0.00035,True,False,0.5,answer directly,no_answer
direct,challenge-data_analysis-011,challenge,data_analysis,filtered_sum,answer,decompose|execute_code,False,,66,0.3,0.0004,0.00033319999999999997,True,False,0.5,answer directly,no_answer
direct,challenge-data_analysis-012,challenge,data_analysis,direct_literal,answer,,True,R012,R012,0.3,0.0004084,0.0008334,True,True,0.5,answer directly,
direct,challenge-data_analysis-013,challenge,data_analysis,aggregate,answer,execute_code,False,,37,0.3,0.0004334,0.00035,True,False,0.5,answer directly,no_answer
direct,challenge-data_analysis-014,challenge,data_analysis,filtered_sum,answer,decompose|execute_code,False,,56,0.3,0.0004,0.0003334,True,False,0.5,answer directly,no_answer
