task_id,split,workload,kind,prompt,expected_answer,required_actions,unavailable_actions,cost_budget
train-data_analysis-000,train,data_analysis,direct_literal,Return the literal answer R000.,R000,,,4.5
train-data_analysis-001,train,data_analysis,aggregate,"Calculate the maximum of these measurements: 31, 25, 26, 28, 29, 29, 28.",31,execute_code,,4.5
train-data_analysis-002,train,data_analysis,filtered_sum,"Decompose the subgroup: first identify green records, then calculate their sum from other:3; green:18; green:6; other:17; green:25; green:10; other:19; other:25.",59,decompose|execute_code,,4.5
train-data_analysis-003,train,data_analysis,direct_literal,Return the literal answer R003.,R003,,,4.5
train-data_analysis-004,train,data_analysis,aggregate,"Calculate the maximum of these measurements: 11, 17, 5, 26, 34, 40, 34.",40,execute_code,,4.5
train-data_analysis-005,train,data_analysis,filtered_sum,"Decompose the subgroup: first identify green records, then calculate their sum from green:22; other:2; other:8; green:3; other:20; green:13; other:19; green:10.",48,decompose|execute_code,,4.5
train-data_analysis-006,train,data_analysis,direct_literal,Return the literal answer R006.,R006,,,4.5
train-data_analysis-007,train,data_analysis,aggregate,"Calculate the maximum of these measurements: 8, 7, 17, 40, 7, 36, 38.",40,execute_code,,4.5
train-data_analysis-008,train,data_analysis,filtered_sum,"Decompose the subgroup: first identify green records, then calculate their sum from other:21; other:22; other:11; green:13; green:3; green:16; green:11; other:14.",43,decompose|execute_code,,4.5
train-data_analysis-009,train,data_analysis,direct_literal,Return the literal answer R009.,R009,,,4.5
train-data_analysis-010,train,data_analysis,aggregate,"Calculate the maximum of these measurements: 28, 16, 22, 35, 9, 13, 11.",35,execute_code,,4.5
train-data_analysis-011,train,data_analysis,filtered_sum,"Decompose the subgroup: first identify green records, then calculate their sum from green:23; green:21; other:6; other:22; other:7; green:21; green:14; green:24.",103,decompose|execute_code,,4.5
train-data_analysis-012,train,data_analysis,direct_literal,Return the literal answer R012.,R012,,,4.5
train-data_analysis-013,train,data_analysis,aggregate,"Calculate the maximum of these measurements: 36, 13, 17, 8, 31, 4, 24.",36,execute_code,,4.5
train-data_analysis-014,train,data_analysis,filtered_sum,"Decompose the subgroup: first identify green records, then calculate their sum from green:16; other:13; other:13; other:7; green:11; green:11; green:7; green:20.",65,decompose|execute_code,,4.5
train-data_analysis-015,train,data_analysis,direct_literal,Return the literal answer R015.,R015,,,4.5
train-data_analysis-016,train,data_analysis,aggregate,"Calculate the maximum of these measurements: 3, 24, 36, 12, 14, 11, 13.",36,execute_code,,4.5
train-data_analysis-017,train,data_analysis,filtered_sum,"Decompose the subgroup: first identify green records, then calculate their sum from green:19; green:5; other:22; green:5; other:7; other:18; other:20; green:21.",50,decompose|execute_code,,4.5
train-data_analysis-018,train,data_analysis,direct_literal,Return the literal answer R018.,R018,,,4.5
train-data_analysis-019,train,data_analysis,aggregate,"Calculate the maximum of these measurements: 26, 40, 22, 37, 39, 14, 37.",40,execute_code,,4.5
train-data_analysis-020,train,data_analysis,filtered_sum,"Decompose the subgroup: first identify green records, then calculate their sum from other:16; other:22; other:22; other:25; other:2; green:7; other:23; other:13.",7,decompose|execute_code,,4.5
train-data_analysis-021,train,data_analysis,direct_literal,Return the literal answer R021.,R021,,,4.5
