policy,task_id,split,workload,kind,actions,required_actions,success,answer,expected_answer,cost,route_latency_ms,execution_latency_ms,within_cost_budget,route_exact_match,confidence,rationale,failure_mode
direct,test-data_analysis-000,test,data_analysis,direct_literal,answer,,True,R000,R000,0.3,0.0007918,0.0093584,True,True,0.5,answer directly,
direct,test-data_analysis-001,test,data_analysis,aggregate,answer,execute_code,False,,36,0.3,0.000625,0.0005,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-002,test,data_analysis,filtered_sum,answer,decompose|execute_code,False,,38,0.3,0.0004168,0.00041660000000000004,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-003,test,data_analysis,direct_literal,answer,,True,R003,R003,0.3,0.0004,0.0009166,True,True,0.5,answer directly,
direct,test-data_analysis-004,test,data_analysis,aggregate,answer,execute_code,False,,38,0.3,0.0003834,0.0003334,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-005,test,data_analysis,filtered_sum,answer,decompose|execute_code,False,,26,0.3,0.000375,0.00035,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-006,test,data_analysis,direct_literal,answer,,True,R006,R006,0.3,0.000375,0.0008166,True,True,0.5,answer directly,
direct,test-data_analysis-007,test,data_analysis,aggregate,answer,execute_code,False,,35,0.3,0.000375,0.0003168,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-008,test,data_analysis,filtered_sum,answer,decompose|execute_code,False,,44,0.3,0.00036679999999999997,0.0003084,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-009,test,data_analysis,direct_literal,answer,,True,R009,R009,0.3,0.0003666,0.0007832000000000001,True,True,0.5,answer directly,
direct,test-data_analysis-010,test,data_analysis,aggregate,answer,execute_code,False,,36,0.3,0.000375,0.0003166,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-011,test,data_analysis,filtered_sum,answer,decompose|execute_code,False,,53,0.3,0.000375,0.00033319999999999997,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-012,test,data_analysis,direct_literal,answer,,True,R012,R012,0.3,0.000375,0.000775,True,True,0.5,answer directly,
direct,test-data_analysis-013,test,data_analysis,aggregate,answer,execute_code,False,,35,0.3,0.0003666,0.0003082,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-014,test,data_analysis,filtered_sum,answer,decompose|execute_code,False,,42,0.3,0.000375,0.00030000000000000003,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-015,test,data_analysis,direct_literal,answer,,True,R015,R015,0.3,0.000375,0.0008668,True,True,0.5,answer directly,
direct,test-data_analysis-016,test,data_analysis,aggregate,answer,execute_code,False,,39,0.3,0.0003666,0.00035,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-017,test,data_analysis,filtered_sum,answer,decompose|execute_code,False,,68,0.3,0.0003666,0.0003084,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-018,test,data_analysis,direct_literal,answer,,True,R018,R018,0.3,0.0003666,0.0008082,True,True,0.5,answer directly,
direct,test-data_analysis-019,test,data_analysis,aggregate,answer,execute_code,False,,36,0.3,0.0004084,0.000325,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-020,test,data_analysis,filtered_sum,answer,decompose|execute_code,False,,38,0.3,0.0004,0.0003168,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-021,test,data_analysis,direct_literal,answer,,True,R021,R021,0.3,0.0003834,0.0008,True,True,0.5,answer directly,
direct,test-data_analysis-022,test,data_analysis,aggregate,answer,execute_code,False,,40,0.3,0.0003666,0.000325,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-023,test,data_analysis,filtered_sum,answer,decompose|execute_code,False,,45,0.3,0.00035820000000000003,0.0003082,True,False,0.5,answer directly,no_answer
direct,test-data_analysis-024,test,data_analysis,direct_literal,answer,,True,R024,R024,0.3,0.000375,0.0008083999999999999,True,True,0.5,answer directly,
